geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.8835019891, 2.38345050145;351;19;19/116;14;RUE MEYNADIER;603441.485;131452.57;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.863547401, 2.34247230415;3;01;1/107;9;RUE COQUILLIERE;600436.407921;129232.548445;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8759443207, 2.40698934293;393;20;20/153;;BOULEVARD MORTIER;605168.544468;130613.496409;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8555327403, 2.2898684072;264;15;15/161;;QUAI BRANLY;596576.466433;128342.354853;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8888826761, 2.29757004372;282;17;17/103;face 1;AVENUE EMILE ET ARMAND MASSARD;597143.541;132050.567;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8617407569, 2.37266335235;135;11;11/119;face 86;BOULEVARD RICHARD LENOIR;602651.527;129032.269;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8428648453, 2.29781054036;246;15;15/122;face 19;RUE LEON LHERMITTE;597158.517128;126933.343916;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8483316189, 2.26053361093;267;16;16/104;101;BOULEVARD DE MONTMORENCY;594423.108;127543.345;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.882567343, 2.33677389228;334;18;18/157;face 34;BOULEVARD DE CLICHY;600018.339458;131347.561696;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8491847075, 2.30356403712;254;15;15/140;25;AVENUE DE LOWENDAL;597581.120262;127635.915931;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8504315681, 2.38403796052;141;11;11/134;3;RUE DE MONTREUIL;603486.861551;127775.143111;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8455266144, 2.30189793713;250;15;15/130;38;RUE CAMBRONNE;597458.65896;127229.188082;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8859575419, 2.35627051467;317;18;18/120;1;RUE SAINT BRUNO;601448.103353;131724.745327;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8422349218, 2.25617823875;278;16;16/134;;BOULEVARD MURAT;594102.744086;126865.721593;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
