idptar;nomptar;STIF;CodeINSEE;X;Y;coord;UFR;AnnonceSonoreProchainPassage;AnnonceVisuelleProchainPassage;AnnonceSonoreSituationsPerturbees;AnnonceVisuelleSituationsPerturbees;PAQT;AccessibiliteQuaiTrain
2198;Fontenay-sous-Bois;1001110010001;94033;609423;2427236;48.8434118184, 2.46481539994;1;0;1;1;1;1;4
2140;Cergy-Préfecture;1001102000001;95127;581243;2448683;49.0359437943, 2.08014375391;1;0;0;0;0;0;1
2305;Nogent-sur-Marne;1001110010001;94052;609929;2426313;48.8351087334, 2.47168391283;1;0;1;1;1;1;4
1840;Noisy-Champs;1001110010001;93051;617754;2427172;48.8426610663, 2.57825244785;1;0;1;1;1;1;4
2143;Champigny;1001110010001;94068;612743;2423195;48.8070357613, 2.50990166505;1;0;1;1;1;1;4
2326;Lognes;1001110010001;77258;621846;2426770;48.8389222959, 2.63394987092;1;0;1;1;1;1;4
1652;Noisy-le-Grand (Mont d'Est);1001110010001;93051;615533;2426958;48.8407951048, 2.54800262639;1;0;1;1;1;1;4
2776542;Achères Grand Cormier;1001110010001;78498;578342;2437256;48.9331642217, 2.04108350764;1;0;1;1;1;1;4
1850;Le Vésinet-Centre;1001110010001;78650;585169;2432442;48.8900956656, 2.13437461099;1;0;1;1;1;1;4
1830;Nanterre-Université;1001110010001;92050;590998;2433642;48.9009889733, 2.21379170886;1;0;1;1;1;1;4
2022;Cergy-Saint-Christophe;1001102000001;95127;577898;2450233;49.049764961, 2.03434511366;1;0;0;0;0;0;1
1851;Le Vésinet-Le Pecq;1001110010001;78650;584251;2433363;48.8983508533, 2.12182892211;1;0;1;1;1;1;4
2021;Cergy-Préfecture;1001102000001;95127;581243;2448683;49.0359437943, 2.08014375391;1;0;0;0;0;0;1
2463;Saint-Fargeau;1001101030001;75120;604966;2430383;48.8717447834, 2.40416253824;0;1;1;1;1;0;0
1902;Jaurès;1001101070001;75119;602482;2431578;48.8824987835, 2.37032717893;0;1;1;1;1;0;0
2298;Jaurès;1001101070001;75119;602482;2431578;48.8824987835, 2.37032717893;0;1;1;1;1;0;0
1673;Saint-Rémy-lès-Chevreuse;1001110020001;78575;580419;2411625;48.7028686434, 2.07060021119;1;0;1;1;1;1;4
2451;Aéroport Charles de Gaulle 1;1001110010001;95527;616460;2445833;49.0103995199, 2.56135733564;1;0;1;1;1;1;4
2054;La Courneuve-Aubervilliers;1001110010001;93001;603512;2436199;48.9240233942, 2.38440066136;1;0;1;1;1;1;4
1777;Parc des Expositions;1001110010001;93078;613038;2441721;48.9735259917, 2.5144841727;1;0;1;1;1;1;4
2387;Parc des Expositions;1001110010001;93078;613038;2441721;48.9735259917, 2.5144841727;1;0;1;1;1;1;4
1976;Cité Universitaire;1001110020001;75114;600234;2424661;48.8203370161, 2.33969097138;1;0;1;1;1;1;4
2056;Aulnay-sous-Bois;1001110010001;93005;611496;2437109;48.9321087219, 2.49330955925;1;0;1;1;1;1;4
2047;Arcueil-Cachan;1001110020001;94016;599369;2422227;48.7984604331, 2.32792174881;1;0;1;1;1;1;4
1693;Vert-Galant;1001110010001;93078;616884;2438474;48.944256914, 2.56685574769;1;0;1;1;1;1;4
1921;Laplace;1001110020001;94003;599761;2423248;48.8076372956, 2.33325414336;1;0;1;1;1;1;4
1717;Saint-Denis - Porte de Paris;1001100130001;93066;601443;2436855;48.9299266245, 2.35618614586;0;1;1;1;1;0;0
